id,name,type,country
1,Eoin Morgan,BATTER,ENG
2,Moeen Ali,ALL_ROUNDER,ENG
3,Jonny Bairstow,WICKET_KEEPER,ENG
4,Sam Billings,BATTER,ENG
5,Jos Buttler,WICKET_KEEPER,ENG
6,Tom Curran,BOWLER,ENG
7,Chris Jordan,BOWLER,ENG
8,Liam Livingstone,BATTER,ENG
9,Dawid Malan,BATTER,ENG
10,Tymal Mills,BOWLER,ENG
11,Adil Rashid,BOWLER,ENG
12,Jason Roy,BATTER,ENG
13,David Willey,ALL_ROUNDER,ENG
14,Chris Woakes,ALL_ROUNDER,ENG
15,Mark Wood,BOWLER,ENG

16,Virat Kohli,BATTER,IND
17,Rohit Sharma,BATTER,IND
18,KL Rahul,BATTER,IND
19,Suryakumar Yadav,BATTER,IND
20,Rishabh Pant,WICKET_KEEPER,IND
21,Ishan Kishan,WICKET_KEEPER,IND
22,Hardik Pandya,ALL_ROUNDER,IND
23,Ravindra Jadeja,ALL_ROUNDER,IND
24,Rahul Chahar,ALL_ROUNDER,IND
25,Ravichandran Ashwin,ALL_ROUNDER,IND
26,Axar Patel,ALL_ROUNDER,IND
27,Varun Chakravarthy,BOWLER,IND
28,Jasprit Bumrah,BOWLER,IND
29,Bhuvneshwar Kumar,BOWLER,IND
30,Mohammed Shami,BOWLER,IND

31,Aaron Finch,BATTER,AUZ
32,Ashton Agar,BATTER,AUZ
33,Pat Cummins,BOWLER,AUZ
34,Josh Hazlewood,BOWLER,AUZ
35,Josh Inglis,BATTER,AUZ
36,Mitchell Marsh,BATTER,AUZ
37,Glenn Maxwell,BATTER,AUZ
38,Kane Richardson,BATTER,AUZ
39,Steve Smith,BATTER,AUZ
40,Mitchell Starc,BOWLER,AUZ
41,Marcus Stoinis,ALL_ROUNDER,AUZ
42,Mitchell Swepson,BATTER,AUZ
43,Matthew Wade,WICKET_KEEPER,AUZ
44,David Warner,BATTER,AUZ
45,Adam Zampa,BOWLER,AUZ

46,Kane Williamson,BATTER,NZ
47,Todd Astle,BATTER,NZ
48,Trent Boult,BOWLER,NZ
49,Mark Chapman,BATTER,NZ
50,Devon Conway,BATTER,NZ
51,Lockie Ferguson,BOWLER,NZ
52,Martin Guptill,BATTER,NZ
53,Kyle Jamieson,BOWLER,NZ
54,Daryl Mitchell,BOWLER,NZ
55,Jimmy Neesham,ALL_ROUNDER,NZ
56,Glenn Phillips,BATTER,NZ
57,Mitchell Santner,BATTER,NZ
58,Tim Seifert,WICKET_KEEPER,NZ
59,Ish Sodhi,BOWLER,NZ
60,Tim Southee,ALL_ROUNDER,NZ

61,Mohammad Nabi,ALL_ROUNDER,AFG
62,Asghar Afghan,BATTER,AFG
63,Fareed Ahmad,BOWLER,AFG
64,Usman Ghani,BATTER,AFG
65,Rahmanullah Gurbaz,WICKET_KEEPER,AFG
66,Hamid Hassan,BOWLER,AFG
67,Karim Janat,ALL_ROUNDER,AFG
68,Rashid Khan,BOWLER,AFG
69,Gulbadin Naib,BOWLER,AFG
70,Hashmatullah Shahidi,BATTER,AFG
71,Mohammad Shahzad,WICKET_KEEPER,AFG
72,Naveen-ul-Haq,BOWLER,AFG
73,Mujeeb Ur Rahman,BOWLER,AFG
74,Najibullah Zadran,BATTER,AFG
75,Hazratullah Zazai,BATTER,AFG

76,Mahmudullah,ALL_ROUNDER,BGD
77,Nasum Ahmed,BOWLER,BGD
78,Taskin Ahmed,BOWLER,BGD
79,Liton Das,WICKET_KEEPER,BGD
80,Mahedi Hasan,ALL_ROUNDER,BGD
